Date,value
2013-02-01,1.3646
2013-02-04,1.3513
2013-02-05,1.3584
2013-02-06,1.3519
2013-02-07,1.3395
2013-02-08,1.3365
2013-02-11,1.3404
2013-02-12,1.3454
2013-02-13,1.3448
2013-02-14,1.3355
2013-02-15,1.3362
2013-02-19,1.3390
2013-02-20,1.3282
2013-02-21,1.3186
2013-02-22,1.3184
2013-02-25,1.3079
2013-02-26,1.3058
2013-02-27,1.3139
2013-02-28,1.3060
2013-03-01,1.3021
2013-03-04,1.3027
2013-03-05,1.3047
2013-03-06,1.2976
2013-03-07,1.3103
2013-03-08,1.2998
2013-03-11,1.3047
2013-03-12,1.3034
2013-03-13,1.2958
2013-03-14,1.3000
2013-03-15,1.3068
2013-03-18,1.2954
2013-03-19,1.2879
2013-03-20,1.2933
2013-03-21,1.2898
2013-03-22,1.2987
2013-03-25,1.2852
2013-03-26,1.2861
2013-03-27,1.2779
2013-03-28,1.2814
2013-04-01,1.2850
2013-04-02,1.2818
2013-04-03,1.2845
2013-04-04,1.2934
2013-04-05,1.2996
2013-04-08,1.3007
2013-04-09,1.3079
2013-04-10,1.3069
2013-04-11,1.3102
2013-04-12,1.3107
2013-04-15,1.3034
2013-04-16,1.3175
2013-04-17,1.3028
2013-04-18,1.3050
2013-04-19,1.3053
2013-04-22,1.3064
2013-04-23,1.3002
2013-04-24,1.3014
2013-04-25,1.3009
2013-04-26,1.3028
2013-04-29,1.3099
2013-04-30,1.3166
2013-05-01,1.3180
2013-05-02,1.3063
2013-05-03,1.3113
2013-05-06,1.3075
2013-05-07,1.3079
2013-05-08,1.3152
2013-05-09,1.3042
2013-05-10,1.2989
2013-05-13,1.2977
2013-05-14,1.2918
2013-05-15,1.2885
2013-05-16,1.2881
2013-05-17,1.2834
2013-05-20,1.2882
2013-05-21,1.2905
2013-05-22,1.2859
2013-05-23,1.2935
2013-05-24,1.2935
2013-05-28,1.2854
2013-05-29,1.2938
2013-05-30,1.3048
2013-05-31,1.2995
2013-06-03,1.3076
2013-06-04,1.3080
2013-06-05,1.3093
2013-06-06,1.3246
2013-06-07,1.3214
2013-06-10,1.3256
2013-06-11,1.3313
2013-06-12,1.3337
2013-06-13,1.3374
2013-06-14,1.3343
2013-06-17,1.3367
2013-06-18,1.3395
2013-06-19,1.3295
2013-06-20,1.3218
2013-06-21,1.3121
2013-06-24,1.3118
2013-06-25,1.3083
2013-06-26,1.3011
2013-06-27,1.3036
2013-06-28,1.3010
2013-07-01,1.3061
2013-07-02,1.2979
2013-07-03,1.3009
2013-07-05,1.2829
2013-07-08,1.2869
2013-07-09,1.2780
2013-07-10,1.2976
2013-07-11,1.3092
2013-07-12,1.3067
2013-07-15,1.3063
2013-07-16,1.3163
2013-07-17,1.3125
2013-07-18,1.3108
2013-07-19,1.3138
2013-07-22,1.3186
2013-07-23,1.3222
2013-07-24,1.3198
2013-07-25,1.3276
2013-07-26,1.3279
2013-07-29,1.3263
2013-07-30,1.3262
2013-07-31,1.3300
2013-08-01,1.3209
2013-08-02,1.3280
2013-08-05,1.3258
2013-08-06,1.3305
2013-08-07,1.3336
2013-08-08,1.3379
2013-08-09,1.3342
2013-08-12,1.3298
2013-08-13,1.3263
2013-08-14,1.3254
2013-08-15,1.3343
2013-08-16,1.3326
2013-08-19,1.3333
2013-08-20,1.3416
2013-08-21,1.3354
2013-08-22,1.3355
2013-08-23,1.3378
2013-08-26,1.3368
2013-08-27,1.3391
2013-08-28,1.3339
2013-08-29,1.3237
2013-08-30,1.3221
2013-09-03,1.3172
2013-09-04,1.3206
2013-09-05,1.3117
2013-09-06,1.3177
2013-09-09,1.3252
2013-09-10,1.3267
2013-09-11,1.3310
2013-09-12,1.3299
2013-09-13,1.3301
2013-09-16,1.3334
2013-09-17,1.3355
2013-09-18,1.3523
2013-09-19,1.3529
2013-09-20,1.3522
2013-09-23,1.3492
2013-09-24,1.3472
2013-09-25,1.3525
2013-09-26,1.3488
2013-09-27,1.3520
2013-09-30,1.3522
2013-10-01,1.3527
2013-10-02,1.3580
2013-10-03,1.3618
2013-10-04,1.3553
2013-10-07,1.3580
2013-10-08,1.3571
2013-10-09,1.3522
2013-10-10,1.3518
2013-10-11,1.3540
2013-10-14,1.3560
2013-10-15,1.3524
2013-10-16,1.3529
2013-10-17,1.3675
2013-10-18,1.3685
2013-10-21,1.3677
2013-10-22,1.3781
2013-10-23,1.3776
2013-10-24,1.3799
2013-10-25,1.3804
2013-10-28,1.3784
2013-10-29,1.3745
2013-10-30,1.3735
2013-10-31,1.3584
2013-11-01,1.3490
2013-11-04,1.3513
2013-11-05,1.3474
2013-11-06,1.3514
2013-11-07,1.3416
2013-11-08,1.3363
2013-11-11,1.3404
2013-11-12,1.3434
2013-11-13,1.3488
2013-11-14,1.3455
2013-11-15,1.3493
2013-11-18,1.3506
2013-11-19,1.3538
2013-11-20,1.3441
2013-11-21,1.3478
2013-11-22,1.3554
2013-11-25,1.3517
2013-11-26,1.3573
2013-11-27,1.3577
2013-11-29,1.3589
2013-12-02,1.3541
2013-12-03,1.3588
2013-12-04,1.3593
2013-12-05,1.3665
2013-12-06,1.3704
2013-12-09,1.3739
2013-12-10,1.3760
2013-12-11,1.3786
2013-12-12,1.3751
2013-12-13,1.3736
2013-12-16,1.3761
2013-12-17,1.3764
2013-12-18,1.3685
2013-12-19,1.3662
2013-12-20,1.3673
2013-12-23,1.3694
2013-12-24,1.3677
2013-12-26,1.3690
2013-12-27,1.3741
2013-12-30,1.3799
2013-12-31,1.3750
2014-01-02,1.3669
2014-01-03,1.3587
2014-01-06,1.3627
2014-01-07,1.3614
2014-01-08,1.3577
2014-01-09,1.3603
2014-01-10,1.3666
2014-01-13,1.3670
2014-01-14,1.3676
2014-01-15,1.3603
2014-01-16,1.3620
2014-01-17,1.3536
2014-01-21,1.3560
2014-01-22,1.3546
2014-01-23,1.3694
2014-01-24,1.3676
2014-01-27,1.3673
2014-01-28,1.3669
2014-01-29,1.3664
2014-01-30,1.3554
2014-01-31,1.3487
2014-02-03,1.3529
2014-02-04,1.3516
2014-02-05,1.3531
2014-02-06,1.3590
2014-02-07,1.3634
2014-02-10,1.3643
2014-02-11,1.3636
2014-02-12,1.3593
2014-02-13,1.3679
2014-02-14,1.3691
2014-02-18,1.3757
2014-02-19,1.3732
2014-02-20,1.3719
2014-02-21,1.3736
2014-02-24,1.3734
2014-02-25,1.3743
2014-02-26,1.3686
2014-02-27,1.3709
2014-02-28,1.3798
2014-03-03,1.3733
2014-03-04,1.3741
2014-03-05,1.3733
2014-03-06,1.3859
2014-03-07,1.3872
2014-03-10,1.3876
2014-03-11,1.3859
2014-03-12,1.3903
2014-03-13,1.3867
2014-03-14,1.3908
2014-03-17,1.3922
2014-03-18,1.3933
2014-03-19,1.3830
2014-03-20,1.3777
2014-03-21,1.3792
2014-03-24,1.3838
2014-03-25,1.3824
2014-03-26,1.3782
2014-03-27,1.3741
2014-03-28,1.3752
2014-03-31,1.3772
2014-04-01,1.3792
2014-04-02,1.3766
2014-04-03,1.3718
2014-04-04,1.3701
2014-04-07,1.3740
2014-04-08,1.3796
2014-04-09,1.3854
2014-04-10,1.3887
2014-04-11,1.3884
2014-04-14,1.3819
2014-04-15,1.3813
2014-04-16,1.3815
2014-04-17,1.3813
2014-04-21,1.3793
2014-04-22,1.3804
2014-04-23,1.3817
2014-04-24,1.3831
2014-04-25,1.3833
2014-04-28,1.3849
2014-04-29,1.3811
2014-04-30,1.3866
2014-05-01,1.3867
2014-05-02,1.3872
2014-05-05,1.3874
2014-05-06,1.3927
2014-05-07,1.3910
2014-05-08,1.3838
